#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2016-03-03 18:16:21
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2016-03-03 18:16:21 W3SVC4221 BROWN 143.95.251.3 GET / - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 3314 393 1640
2016-03-03 18:16:21 W3SVC4221 BROWN 143.95.251.3 GET /Scripts/app.js - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 http://restfulservice.funkyprogrammer.com/ restfulservice.funkyprogrammer.com 200 0 0 3639 359 62
2016-03-03 18:16:21 W3SVC4221 BROWN 143.95.251.3 GET /favicon.ico - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 http://restfulservice.funkyprogrammer.com/ restfulservice.funkyprogrammer.com 404 0 2 1405 356 62
2016-03-03 18:16:26 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 http://restfulservice.funkyprogrammer.com/ restfulservice.funkyprogrammer.com 200 0 0 1215 391 4124
2016-03-03 18:26:36 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 124
2016-03-03 18:30:25 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/46.0.2486.0+Safari/537.36+Edge/13.10586 - restfulservice.funkyprogrammer.com 200 0 0 1215 351 78
2016-03-03 18:30:25 W3SVC4221 BROWN 143.95.251.3 GET /favicon.ico - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/46.0.2486.0+Safari/537.36+Edge/13.10586 - restfulservice.funkyprogrammer.com 404 0 2 1405 281 62
2016-03-03 18:30:30 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/46.0.2486.0+Safari/537.36+Edge/13.10586 - restfulservice.funkyprogrammer.com 200 0 0 1215 351 62
2016-03-03 18:30:30 W3SVC4221 BROWN 143.95.251.3 GET /favicon.ico - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/46.0.2486.0+Safari/537.36+Edge/13.10586 - restfulservice.funkyprogrammer.com 404 0 2 1405 281 62
2016-03-03 18:32:18 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:18 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:20 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:21 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:23 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:30 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:30 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 93
2016-03-03 18:32:31 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:31 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:31 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 124
2016-03-03 18:32:31 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:32 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:32:34 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:33:38 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:33:38 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:33:39 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:33:39 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:34:43 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 140
2016-03-03 18:34:44 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:35:05 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:35:06 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:35:11 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
